StudentID,Name,Gender,Class,Section,ExamTerm,Math,Science,English,History,Computer,Total,Average,Grade
S0226,Ashley Rodriguez,Male,10A,,Term 1,51.0,63.0,28.0,35.0,17.0,194.0,38.8,E
S0466,Joshua Downs,Male,10A,,Term 1,30.0,100.0,70.0,74.0,72.0,346.0,69.2,B
S0305,Rebecca Patterson,Female,10C,,Term 1,50.0,91.0,63.0,77.0,19.0,300.0,60.0,B
S0269,Joshua Bailey,Female,10B,,Term 1,39.0,67.0,28.0,46.0,50.0,230.0,46.0,D
S0188,Judy Campos,Male,10A,,Term 1,98.0,28.0,91.0,15.0,63.0,295.0,59.0,C
S0109,Vicki Morgan,Male,10A,,Term 1,87.0,3.0,29.0,59.0,82.0,260.0,52.0,C
S0441,Mathew Davidson,Male,10C,,Term 1,62.0,38.0,98.0,60.0,47.0,305.0,61.0,B
S0383,David Dominguez,Female,10A,,Term 1,64.0,14.0,16.0,10.0,60.0,164.0,32.8,E
S0440,Marcus Lester,Female,10B,,Term 1,15.0,76.0,30.0,43.0,59.0,223.0,44.6,D
S0266,Derrick Macdonald,Male,10A,,Term 1,49.0,16.0,3.0,5.0,68.0,141.0,28.2,F
S0100,Jack Davis,Female,10C,,Term 1,20.0,63.0,0.0,96.0,59.0,238.0,47.6,D
S0291,Matthew Reilly,Male,10C,,Term 1,76.0,14.0,39.0,14.0,64.0,207.0,41.4,D
S0369,Nicole Hughes,Other,10B,,Term 1,29.0,64.0,91.0,100.0,100.0,384.0,76.8,B+
S0212,Dustin Lewis,Female,10C,,Term 1,43.0,94.0,3.0,0.0,2.0,142.0,28.4,F
S0368,Ethan Graham,Other,10A,,Term 1,70.0,65.0,69.0,52.41263157894737,69.0,325.41263157894736,65.08252631578947,B
S0311,Olivia Brown,Male,10B,,Term 1,97.0,70.0,69.0,69.0,83.0,388.0,77.6,B+
S0298,John Roberts,Other,10A,,Term 1,33.0,100.0,9.0,50.0,77.0,269.0,53.8,C
S0105,Sharon Ray,Other,10B,,Term 1,45.0,95.0,88.0,81.0,51.0,360.0,72.0,B+
S0119,Nicholas Patel,Female,10B,,Term 1,26.0,32.0,7.0,100.0,18.0,183.0,36.6,E
S0239,Garrett Peterson,Other,10C,,Term 1,11.0,45.0,12.0,56.0,95.0,219.0,43.8,D
S0224,John Taylor,Other,10C,,Term 1,100.0,46.0,59.0,1.0,78.0,284.0,56.8,C
S0235,Robert Flores,Female,10C,,Term 1,28.0,21.0,90.0,83.0,38.0,260.0,52.0,C
S0114,Michael Patterson,Female,10A,,Term 1,31.0,14.0,25.0,56.0,68.0,194.0,38.8,E
S0241,Dr. Angel Nunez,Female,10B,,Term 1,37.0,6.0,40.0,49.0,0.0,132.0,26.4,F
S0034,Shannon Gordon,Other,10C,,Term 1,3.0,66.0,60.0,4.0,21.0,154.0,30.8,E
S0247,Dr. Justin Johnson,Female,10A,,Term 1,76.0,7.0,3.0,52.41263157894737,50.503184713375795,188.91581629232314,37.783163258464626,E
S0489,Elizabeth Huffman,Other,10B,,Term 1,22.0,50.40376569037657,46.0,6.0,18.0,142.40376569037656,28.48075313807531,F
S0279,Aaron Cline,Male,10B,,Term 1,16.0,55.0,54.0,99.0,45.0,269.0,53.8,C
S0448,Cheryl Robertson,Male,10A,,Term 1,29.0,18.0,6.0,37.0,65.0,155.0,31.0,E
S0193,Scott Wilson,Male,10A,,Term 1,50.90191897654584,74.0,50.40127388535032,85.0,50.503184713375795,310.80637757527194,62.161275515054385,B
S0061,Jennifer Romero,Female,10B,,Term 1,93.0,50.40376569037657,67.0,47.0,50.503184713375795,307.9069504037523,61.58139008075047,B
